Price,Date,Close,High,Low,Open,Volume
Ticker,,META,META,META,META,META
174,2020-09-10,266.8324279785156,277.8505076249428,265.7774027031436,274.21763528054476,24814700
175,2020-09-11,265.359375,270.1169822030005,261.40802657934574,268.793203938526,18913900
176,2020-09-14,264.9014587402344,275.34226979840975,264.4535879580585,269.6789597043646,24093800
177,2020-09-15,271.1421203613281,273.2322451870108,268.0367304321977,269.4003294236436,18478500
178,2020-09-16,262.28387451171875,271.1620461118297,260.5620090021167,266.03620970777786,29183400
179,2020-09-17,253.62466430664062,260.2733215991201,249.0163784562783,257.0684251812783,31281400
180,2020-09-18,251.3454132080078,257.984138465208,248.87705081975477,257.18787293711085,28130800
181,2020-09-21,246.98594665527344,248.77750606956155,242.98481501511017,246.3788074978539,24709400
182,2020-09-22,253.55499267578125,254.12232615141394,247.0556254818363,252.12174514493194,30293100
183,2020-09-23,247.8518829345703,256.77979182708066,246.9859536672072,254.0626021641427,19641300
184,2020-09-24,248.35946655273438,251.05676076626773,244.46780451413667,245.34368133988227,20006800
185,2020-09-25,253.62466430664062,254.5502944511471,245.4531701660315,248.230075786762,18351300
186,2020-09-28,255.61534118652344,258.38229981981635,253.62472259064572,258.18322581045686,18826300
187,2020-09-29,260.5619812011719,262.09473536563075,255.69490505880265,256.60063999657757,20200200
188,2020-09-30,260.67144775390625,264.8318325106439,258.8799035199725,260.75108949174785,20142500
189,2020-10-01,265.3792724609375,267.0712797207441,263.55783978269386,264.1052780170264,20009800
190,2020-10-02,258.72064208984375,263.9061938397875,257.96419747681665,259.9846736739717,16367600
191,2020-10-05,263.4085693359375,263.6275385712825,259.61644377679187,260.9700800610407,12822300
192,2020-10-06,257.4466552734375,264.4436770266366,257.0286120869795,260.55201480338883,18696900
193,2020-10-07,256.9091796875,258.959514000796,253.62467181167477,257.99406296011404,23133400
194,2020-10-08,262.522705078125,263.3786562172699,257.93431490671395,258.5315063668533,16312800
195,2020-10-09,263.20953369140625,263.5081143057214,260.9402298993312,263.2791822517953,14107800
196,2020-10-12,274.4564514160156,278.865662910463,266.6134117885357,268.93249872314016,31019300
197,2020-10-13,274.8446960449219,277.7908027611189,272.10759575510764,276.27791334311615,18063300
198,2020-10-14,270.5449523925781,277.44243781687163,270.2264461606481,276.31773356778655,15577800
199,2020-10-15,265.4688415527344,267.77796593011686,262.433160979685,266.3447184113569,15416100
200,2020-10-16,264.68255615234375,270.0970403824918,264.05550652513386,266.12576657606246,16622700
201,2020-10-19,260.17376708984375,267.29022038040654,258.6609083413512,264.28439812867344,13587000
202,2020-10-20,266.3049011230469,268.4348771828247,261.64686181166746,261.82601016031515,18763200
203,2020-10-21,277.42254638671875,281.722259079259,275.0736008619321,278.24863966433145,28998600
204,2020-10-22,276.81536865234375,281.1250741680907,273.74982991577525,278.557159619,16720000
205,2020-10-23,283.4540710449219,283.9019418899099,275.5214567520825,277.4921492188728,17535200
206,2020-10-26,275.8100891113281,283.8920244882496,272.97348248625366,281.8317273689323,21322900
207,2020-10-27,281.96112060546875,283.1753989102221,275.01385222261126,277.45237164283316,16287200
208,2020-10-28,266.4143981933594,277.4822304436777,266.00631782044366,277.4822304436777,23121800
209,2020-10-29,279.5126647949219,282.26969067440155,272.4957471970667,275.2527427021206,32368100
210,2020-10-30,261.87579345703125,275.4020724430717,257.88462415220476,273.21238001630326,47247800
211,2020-11-02,260.1340026855469,269.2012854579295,256.13287056323003,263.35882520708196,27165700
212,2020-11-03,264.0555114746094,268.7832300468514,259.6562619391698,261.92556563886893,17961900
213,2020-11-04,286.03192138671875,287.5846010841984,277.3130043359313,279.68184474923083,35364400
214,2020-11-05,293.2976989746094,295.9850458838273,287.5945968691913,290.53074069652536,23823600
215,2020-11-06,292.0336608886719,293.2180812052693,286.70875086963366,292.57113633366833,13891000
216,2020-11-09,277.4622497558594,291.20746316741645,277.22338534084565,288.510184566497,25117700
217,2020-11-10,271.1520690917969,272.7147117739403,262.7616201033585,271.818939598473,29067700
218,2020-11-11,275.18310546875,277.09408217111223,271.2018685686638,272.18721498161847,14957000
219,2020-11-12,273.78961181640625,278.4377186434033,273.14266698112743,275.8797669856649,12899500
220,2020-11-13,275.65081787109375,276.45701566729764,271.81887244965986,276.4171948056134,10391200
221,2020-11-16,277.65142822265625,278.09932948386626,273.34175302621117,273.7597658538778,12970400
222,2020-11-17,273.71002197265625,276.37744326056406,272.00805179541084,276.37744326056406,15040300
223,2020-11-18,270.6942138671875,276.0888024886714,270.5648188258452,273.23223989171385,12152900
224,2020-11-19,271.65966796875,272.18718057635516,267.92725884670676,269.74866113351766,12963700
225,2020-11-20,268.43487548828125,271.7193833571145,268.1462273454444,271.28144492468033,18114700
