Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
0,2020-01-02,68.0260238647461,68.0260238647461,66.92314114168889,67.01856949811031,27278000
1,2020-01-03,67.67015075683594,68.27800878406994,66.96438444234923,66.99818593237907,23408000
2,2020-01-06,69.47384643554688,69.499191867548,67.14729959032974,67.17860597671533,46768000
3,2020-01-07,69.33964538574219,69.75664673328069,69.16320569581798,69.60555247399162,34330000
4,2020-01-08,69.83318328857422,70.17165323614945,69.21638380759072,69.32522809814863,35314000
5,2020-01-09,70.56629180908203,71.00813806104328,70.09014352664377,70.67264858012106,33200000
6,2020-01-10,71.02204895019531,71.31926999168405,70.55684428825862,71.04740196343042,26258000
7,2020-01-13,71.57225036621094,71.64431268127268,70.84361860638434,71.33466921025015,30730000
8,2020-01-14,71.10307312011719,71.7014816325608,70.96290727350438,71.57076533929069,26076000
9,2020-01-15,71.53101348876953,71.60954490077435,71.15626204571724,71.2238574561662,21550000
10,2020-01-16,72.07574462890625,72.10258409230669,71.57076987035354,71.84164444347402,26080000
11,2020-01-17,73.53498077392578,73.5861721727902,72.39332915622886,72.69104316420244,52424000
12,2020-01-21,73.67068481445312,74.04991076264561,73.07226863438602,73.50914748350961,48930000
13,2020-01-22,73.75118255615234,74.58170422346583,73.6910497265724,74.04244265452762,28458000
14,2020-01-23,73.79193878173828,74.22981863138573,73.57474315642993,73.93409160833068,26650000
15,2020-01-24,72.87146759033203,74.264609339692,72.72285326500032,74.196020446127,29786000
16,2020-01-27,71.15972900390625,71.40078360916614,70.55187096816026,71.15028703494137,34132000
17,2020-01-28,72.09263610839844,72.30635072302904,71.09163568309349,71.65724377248847,29724000
18,2020-01-29,72.40078735351562,72.77057128358875,71.8386602655739,72.48826018621243,21566000
19,2020-01-30,72.27902221679688,72.32871958888423,71.32225869315518,71.47633343927552,27110000
20,2020-01-31,71.21192169189453,73.04542333915704,70.92762359603609,72.95546297921697,43822000
21,2020-02-03,73.68806457519531,73.8719668380353,72.39631214725966,72.64680873440162,71636000
22,2020-02-04,71.83965301513672,72.92961273294455,70.67762338918578,72.29094881897467,95880000
23,2020-02-05,71.8714599609375,72.7924349696494,71.05784279922015,72.74422404612974,36376000
24,2020-02-06,73.3585433959961,73.63637998213783,72.09164344918123,72.16619329609739,37822000
25,2020-02-07,73.51461029052734,73.81977931403027,72.83369636110099,72.93210519951582,28360000
26,2020-02-10,74.9832992553711,74.9942352555109,73.32027642689937,73.4211727832516,38302000
27,2020-02-11,75.05288696289062,76.03798402729407,74.8237618175036,75.21242971687933,34852000
28,2020-02-12,75.47883605957031,75.56183438962064,74.98380380484578,75.34115772589581,31042000
29,2020-02-13,75.21839904785156,75.84265359210247,74.75169269042738,75.04990727608255,22914000
30,2020-02-14,75.48379516601562,75.54940357919031,74.82871969441815,75.27504801856062,23198000
31,2020-02-18,75.51908874511719,76.07177387697551,75.10010038845961,75.2656116722523,25642000
32,2020-02-19,75.7889633178711,76.08071636687094,75.59562667949956,75.90476963599502,22746000
33,2020-02-20,75.39732360839844,75.89831681397528,74.76461302476439,75.49771943121748,25962000
34,2020-02-21,73.7308120727539,75.09712201651912,73.48379648553163,74.78051645575131,42520000
35,2020-02-24,70.56976318359375,71.39084289249986,69.92016328642978,70.72831242707177,49560000
36,2020-02-25,68.90276336669922,71.41419813520963,68.6095238769189,71.1234461681275,51580000
37,2020-02-26,69.10902404785156,70.26211217876279,68.41717420286913,69.33318169882985,49776000
38,2020-02-27,65.35554504394531,68.06181854983387,65.32025710125075,67.55187630466246,62290000
39,2020-02-28,66.56330108642578,66.72234329446091,63.032474577890135,63.33565660786584,80198000
40,2020-03-02,68.90276336669922,68.95991571747211,65.86498244629246,67.1666772889554,55430000
41,2020-03-03,66.48725128173828,69.98974398483931,66.0657754377629,69.46737937518863,56602000
42,2020-03-04,68.66817474365234,68.72682112865719,66.45146576661222,67.5429195091109,47598000
43,2020-03-05,65.3460922241211,67.27801007101586,64.69400482396033,66.87641165984024,54380000
44,2020-03-06,64.40077209472656,64.749176992324,62.485754791836364,63.118958320680555,64640000
45,2020-03-09,60.42709732055664,62.2630863308669,59.54488749938329,59.88882544645496,69252000
46,2020-03-10,63.37839889526367,63.41219659651664,60.36347937262164,62.345595294100725,54872000
47,2020-03-11,60.18405532836914,62.471837004879546,59.20194638434587,62.04141969656754,54732000
48,2020-03-12,55.24617004394531,59.08315897707702,55.093088793643375,55.79637143545041,94326000
49,2020-03-13,60.3515510559082,60.35801254815982,55.28294645939998,58.39925895072103,79400000
50,2020-03-16,53.330162048339844,56.93205724294151,53.03592525411457,54.15570870045383,96520000
51,2020-03-17,55.56972885131836,55.96436146118227,52.142286371252744,54.206903805412416,83194000
52,2020-03-18,54.2342414855957,54.9201266387837,51.54089119835191,52.68105643511553,93044000
53,2020-03-19,55.252132415771484,57.28692986717437,52.46286095347188,54.08662180403557,74064000
